Sample_Taxid	clade_fragments_covered	abundance	rank	name
Nanopore_CDC1_67081	21.0	0.01	S	Mycolicibacterium alvei
Nanopore_CDC1_172045	3.0	0.0	S	Elizabethkingia miricola
Nanopore_CDC1_536	3.0	0.0	S	Chromobacterium violaceum
Nanopore_CDC1_93220	22.0	0.01	S	Pandoraea pnomenusa
Nanopore_CDC1_141349	1.0	0.0	S	Mycobacterium lentiflavum
Nanopore_CDC1_549	4.0	0.0	S	Pantoea agglomerans
Nanopore_CDC1_28197	21.0	0.01	S	Aliarcobacter butzleri
Nanopore_CDC1_2749991	1.0	0.0	S	Nocardia gipuzkoensis
Nanopore_CDC1_93222	1.0	0.0	S	Pandoraea sputorum
Nanopore_CDC1_180282	3.0	0.0	S	Delftia tsuruhatensis
Nanopore_CDC1_222805	17.0	0.01	S1	Mycobacterium intracellulare subsp. chimaera
Nanopore_CDC1_283734	1.0	0.0	S	Staphylococcus pseudintermedius
Nanopore_CDC1_61015	1.0	0.0	S	Staphylococcus succinus
Nanopore_CDC1_51288	6.0	0.0	S	Kluyvera ascorbata
Nanopore_CDC1_53345	5.0	0.0	S	Enterococcus durans
Nanopore_CDC1_53346	2.0	0.0	S	Enterococcus mundtii
Nanopore_CDC1_146017	27.0	0.01	S	Mycolicibacterium boenickei
Nanopore_CDC1_82541	55.0	0.02	S	Cupriavidus gilardii
Nanopore_CDC1_84595	1.0	0.0	S	Gordonia polyisoprenivorans
Nanopore_CDC1_158836	3.0	0.0	S	Enterobacter hormaechei
Nanopore_CDC1_217204	215.0	0.09	S	Achromobacter insolitus
Nanopore_CDC1_217203	1150.0	0.5	S	Achromobacter spanius
Nanopore_CDC1_47735	1081.0	0.47	S	Bibersteinia trehalosi
Nanopore_CDC1_1851514	2.0	0.0	S	Scandinavium goeteborgense
Nanopore_CDC1_60550	3.0	0.0	S	Burkholderia pyrrocinia
Nanopore_CDC1_648	36.0	0.02	S	Aeromonas caviae
Nanopore_CDC1_57480	1.0	0.0	S	Microvirgula aerodenitrificans
Nanopore_CDC1_60552	14.0	0.01	S	Burkholderia vietnamiensis
Nanopore_CDC1_654	4.0	0.0	S	Aeromonas veronii
Nanopore_CDC1_244366	1.0	0.0	S	Klebsiella variicola
Nanopore_CDC1_106648	1.0	0.0	S	Acinetobacter bereziniae
Nanopore_CDC1_33945	1.0	0.0	S	Enterococcus avium
Nanopore_CDC1_158	1.0	0.0	S	Treponema denticola
Nanopore_CDC1_106654	1.0	0.0	S	Acinetobacter nosocomialis
Nanopore_CDC1_2480810	1.0	0.0	S	Pseudoxanthomonas winnipegensis
Nanopore_CDC1_394935	30.0	0.01	S	Chromobacterium haemolyticum
Nanopore_CDC1_85693	7.0	0.0	S	Mycolicibacterium monacense
Nanopore_CDC1_147645	5.0	0.0	S	Paracoccus yeei
Nanopore_CDC1_703	4.0	0.0	S	Plesiomonas shigelloides
Nanopore_CDC1_85698	481.0	0.21	S	Achromobacter xylosoxidans
Nanopore_CDC1_195	1.0	0.0	S	Campylobacter coli
Nanopore_CDC1_421058	7.0	0.0	S	Chryseobacterium oranimense
Nanopore_CDC1_160453	2.0	0.0	S	Enterococcus gilvus
Nanopore_CDC1_1871047	3.0	0.0	S	Chryseobacterium sp.
Nanopore_CDC1_225992	4.0	0.0	S	Comamonas kerstersii
Nanopore_CDC1_201	6.0	0.0	S	Campylobacter lari
Nanopore_CDC1_70346	1.0	0.0	S	Acinetobacter variabilis
Nanopore_CDC1_82633	2.0	0.0	S	Cupriavidus pauculus
Nanopore_CDC1_126673	175.0	0.08	S	Mycolicibacterium doricum
Nanopore_CDC1_29394	12.0	0.01	S	Dolosigranulum pigrum
Nanopore_CDC1_61651	1.0	0.0	S	Serratia ficaria
Nanopore_CDC1_96468	1.0	0.0	S	Nocardia vinacea
Nanopore_CDC1_53462	21.0	0.01	S	Mycolicibacterium mageritense
Nanopore_CDC1_82135	33.0	0.01	S	Fannyhessea vaginae
Nanopore_CDC1_730	3.0	0.0	S	[Haemophilus] ducreyi
Nanopore_CDC1_319707	151.0	0.07	S	Mycolicibacterium aubagnense
Nanopore_CDC1_319706	61.0	0.03	S	Mycolicibacterium phocaicum
Nanopore_CDC1_731	26.0	0.01	S	Histophilus somni
Nanopore_CDC1_738	541.0	0.24	S	Glaesserella parasuis
Nanopore_CDC1_28901	1.0	0.0	S	Salmonella enterica
Nanopore_CDC1_1767	17.0	0.01	S	Mycobacterium intracellulare
Nanopore_CDC1_1768	27.0	0.01	S	Mycobacterium kansasii
Nanopore_CDC1_67826	3.0	0.0	S	Citrobacter sedlakii
Nanopore_CDC1_67827	336.0	0.15	S	Citrobacter werkmanii
Nanopore_CDC1_246	37.0	0.02	S	Chryseobacterium balustinum
Nanopore_CDC1_29430	2.0	0.0	S	Acinetobacter haemolyticus
Nanopore_CDC1_1270	1.0	0.0	S	Micrococcus luteus
Nanopore_CDC1_1789	1.0	0.0	S	Mycobacterium xenopi
Nanopore_CDC1_253	13.0	0.01	S	Chryseobacterium indologenes
Nanopore_CDC1_105219	163.0	0.07	S	Ralstonia mannitolilytica
Nanopore_CDC1_1797	3.0	0.0	S	Mycolicibacterium thermoresistibile
Nanopore_CDC1_263	1.0	0.0	S	Francisella tularensis
Nanopore_CDC1_47880	20.0	0.01	S	Pseudomonas fulva
Nanopore_CDC1_1530123	2.0	0.0	S	Acinetobacter seifertii
Nanopore_CDC1_47885	1.0	0.0	S	Pseudomonas oryzihabitans
Nanopore_CDC1_1697043	1.0	0.0	S	Bordetella sp. H567
Nanopore_CDC1_40214	39.0	0.02	S	Acinetobacter johnsonii
Nanopore_CDC1_40215	2.0	0.0	S	Acinetobacter junii
Nanopore_CDC1_40216	1.0	0.0	S	Acinetobacter radioresistens
Nanopore_CDC1_1891094	1.0	0.0	S	Pandoraea fibrosis
Nanopore_CDC1_71452	1.0	0.0	S	Enterococcus raffinosus
Nanopore_CDC1_285	4.0	0.0	S	Comamonas testosteroni
Nanopore_CDC1_287	23.0	0.01	S	Pseudomonas aeruginosa
Nanopore_CDC1_480035	1.0	0.0	S	Nocardia wallacei
Nanopore_CDC1_1829	1.0	0.0	S	Rhodococcus rhodochrous
Nanopore_CDC1_294	4.0	0.0	S	Pseudomonas fluorescens
Nanopore_CDC1_28454	12.0	0.01	S	Sphingobacterium multivorum
Nanopore_CDC1_300	25.0	0.01	S	Pseudomonas mendocina
Nanopore_CDC1_303	40.0	0.02	S	Pseudomonas putida
Nanopore_CDC1_823	1.0	0.0	S	Parabacteroides distasonis
Nanopore_CDC1_665913	230.0	0.1	S	Mixta calida
Nanopore_CDC1_135487	1.0	0.0	S	Nocardia cyriacigeorgica
Nanopore_CDC1_1351	3.0	0.0	S	Enterococcus faecalis
Nanopore_CDC1_329	1.0	0.0	S	Ralstonia pickettii
Nanopore_CDC1_1354	7.0	0.0	S	Enterococcus hirae
Nanopore_CDC1_87883	5.0	0.0	S	Burkholderia multivorans
Nanopore_CDC1_1363	121.0	0.05	S	Lactococcus garvieae
Nanopore_CDC1_386911	1.0	0.0	S	Mycobacterium seoulense
Nanopore_CDC1_1389922	1.0	0.0	S	Achromobacter mucicolens
Nanopore_CDC1_37734	1.0	0.0	S	Enterococcus casseliflavus
Nanopore_CDC1_358	48.0	0.02	S	Agrobacterium tumefaciens
Nanopore_CDC1_398694	2.0	0.0	S	Mycobacterium shinjukuense
Nanopore_CDC1_57706	5.0	0.0	S	Citrobacter braakii
Nanopore_CDC1_876	20.0	0.01	S	Desulfovibrio desulfuricans
Nanopore_CDC1_72557	3.0	0.0	S	Achromobacter ruhlandii
Nanopore_CDC1_1031542	1.0	0.0	S	Campylobacter volucris
Nanopore_CDC1_1911	1.0	0.0	S	Streptomyces griseus
Nanopore_CDC1_1405	2.0	0.0	S	Bacillus mycoides
Nanopore_CDC1_40324	3.0	0.0	S	Stenotrophomonas maltophilia
Nanopore_CDC1_38289	1.0	0.0	S	Corynebacterium jeikeium
Nanopore_CDC1_357276	1.0	0.0	S	Phocaeicola dorei
Nanopore_CDC1_649638	54.0	0.02	S1	Truepera radiovictrix DSM 17093
Nanopore_CDC1_603050	1.0	0.0	S	Malaciobacter mytili
Nanopore_CDC1_46506	1.0	0.0	S	Bacteroides stercoris
Nanopore_CDC1_38323	1.0	0.0	S	Bartonella henselae
Nanopore_CDC1_152500	1.0	0.0	S	Burkholderia dolosa
Nanopore_CDC1_108981	18.0	0.01	S	Acinetobacter schindleri
Nanopore_CDC1_28090	47.0	0.02	S	Acinetobacter lwoffii
Nanopore_CDC1_154046	5.0	0.0	S	Hungatella hathewayi
Nanopore_CDC1_108486	2.0	0.0	S	Corynebacterium falsenii
Nanopore_CDC1_1117645	2.0	0.0	S	Elizabethkingia anophelis
Nanopore_CDC1_54736	1.0	0.0	S	Salmonella bongori
Nanopore_CDC1_470	72.0	0.03	S	Acinetobacter baumannii
Nanopore_CDC1_471	7.0	0.0	S	Acinetobacter calcoaceticus
Nanopore_CDC1_1496	2.0	0.0	S	Clostridioides difficile
Nanopore_CDC1_76761	109.0	0.05	S	Pseudomonas veronii
Nanopore_CDC1_332249	193.0	0.08	S	Truepera radiovictrix
Nanopore_CDC1_198620	1.0	0.0	S	Pseudomonas koreensis
Nanopore_CDC1_80866	2.0	0.0	S	Delftia acidovorans
Nanopore_CDC1_44008	2.0	0.0	S	Enterococcus cecorum
Nanopore_CDC1_207340	82.0	0.04	S	Roseomonas mucosa
Nanopore_CDC1_656366	19.0	0.01	S	Arthrobacter alpinus
Nanopore_CDC1_1756149	21.0	0.01	S	Elizabethkingia bruuniana
Nanopore_CDC1_504	3.0	0.0	S	Kingella kingae
Nanopore_CDC1_511	196.0	0.09	S	Alcaligenes faecalis
Nanopore_CDC1_80878	6632.0	2.89	S	Acidovorax temperans
Nanopore_CDC1_252130	5133.0	2.23	S	Uruburuella suis
Nanopore_CDC1_1501662	4608.0	2.01	S	Streptococcus parasuis
Nanopore_CDC1_1904944	4252.0	1.85	S	Stenotrophomonas sp. LM091
Nanopore_CDC1_1537215	3889.0	1.69	S	Pseudooceanicola algae
Nanopore_CDC1_1868793	3835.0	1.67	S	Jeotgalibaca porci
Nanopore_CDC1_1482074	3622.0	1.58	S	Hartmannibacter diazotrophicus
Nanopore_CDC1_1622	3577.0	1.56	S	Ligilactobacillus murinus
Nanopore_CDC1_225991	2932.0	1.28	S	Comamonas aquatica
Nanopore_CDC1_216929	2709.0	1.18	S	Mycolicibacterium psychrotolerans
